0038,8,_numbers,&;,0,,,BasLat,3.0,"DIGIT EIGHT",accepted,,0,,"2025-09-25 09:37:41",https://mufi.info/q.php?p=mufi/chars/unichar/56
0039,9,_numbers,&;,0,,,BasLat,3.0,"DIGIT NINE",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/57
003A,:,_punctuation,&colon;,0,,,BasLat,3.0,COLON,accepted,,0,,"2025-09-25 09:37:40",https://mufi.info/q.php?p=mufi/chars/unichar/58
003B,;,_spacing,&semi;,0,,,BasLat,3.0,SEMICOLON,accepted,,0,"In Medieval script, a sign looking like the semicolon was commonly used as an abbreviation for ‘eð’ or ‘ed’, cf. LATIN ABBREVIATION SIGN SEMICOLON at F1AC on p. 133 below. If an encoder wants to use 003B SEMICOLON for the abbreviation sign, we recommend that this usage should be specified by markup, e.g. by the  element.","2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/59
003C,<,_punctuation,&lt;,0,,,BasLat,3.0,"LESS-THAN SIGN",accepted,,0,"In SGML/XML encoded doccuments, the less-than sign is used as the opening character of an element name, e.g. . To be able to refer to the less-than sign as such, a separate entity is needed, ‘&lt;’.","2025-09-25 09:37:44",https://mufi.info/q.php?p=mufi/chars/unichar/60
003D,=,_symbols,&equals;,0,,,BasLat,3.0,"EQUALS SIGN",accepted,,0,,"2025-09-25 09:37:42",https://mufi.info/q.php?p=mufi/chars/unichar/61
003E,>,_punctuation,&gt;,0,,,BasLat,3.0,"GREATER-THAN SIGN",accepted,,0,"In SGML/XML encoded doccuments, the greater-than sign is used as a closing character of an element name, e.g. . To be able to refer to the greater- than sign as such, a separate entity is needed, ‘&gt;’.","2025-09-25 09:37:43",https://mufi.info/q.php?p=mufi/chars/unichar/62
003F,?,_punctuation,&quest;,0,,,BasLat,3.0,"QUESTION MARK",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/63
0040,@,_symbols,&commat;,0,,,BasLat,3.0,"COMMERCIAL AT",accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/64
0041,A,A,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER A",accepted,,0,,"2025-09-25 09:37:31",https://mufi.info/q.php?p=mufi/chars/unichar/65
0042,B,B,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER B",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/66
0043,C,C,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER C",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/67
0044,D,D,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER D",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/68
0045,E,E,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER E",accepted,,0,,"2025-09-25 09:37:32",https://mufi.info/q.php?p=mufi/chars/unichar/69
0046,F,F,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER F",accepted,,0,,"2025-09-25 09:37:33",https://mufi.info/q.php?p=mufi/chars/unichar/70
0047,G,G,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER G",accepted,,0,,"2025-09-25 09:37:33",https://mufi.info/q.php?p=mufi/chars/unichar/71
0048,H,H,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER H",accepted,,0,,"2025-09-25 09:37:33",https://mufi.info/q.php?p=mufi/chars/unichar/72
0049,I,I,&;,0,,,BasLat,3.0,"LATIN CAPITAL LETTER I",accepted,,0,,"2025-09-25 09:37:33",https://mufi.info/q.php?p=mufi/chars/unichar/73
